Index,Value
0,0.006735634000
1,0.000443899000
2,0.000299645000
3,0.000215923000
4,0.000179016000
5,0.000167914000
6,0.000155512000
7,0.000143010000
8,0.000125008000
9,0.000103105000
10,0.000086003700
11,0.000087903900
12,0.000125008000
13,0.000205721000
14,0.000317350000
15,0.000438396000
16,0.000551752000
17,0.000656816000
18,0.000747379000
19,0.000825140000
20,0.000905610000
21,0.000982983000
22,0.001033734000
23,0.001049150000
24,0.001038739000
25,0.001019720000
26,0.001006006000
27,0.000998398000
28,0.001002803000
29,0.001018919000
30,0.001042643000
31,0.001072074000
32,0.001113620000
33,0.001156969000
34,0.001213136000
35,0.001277015000
36,0.001355418000
37,0.001457061000
38,0.001586558000
39,0.001740213000
40,0.001905114000
41,0.002078859000
42,0.002270876000
43,0.002482078000
44,0.002709467000
45,0.002947540000
46,0.003194898000
47,0.003458975000
48,0.003747614000
49,0.004065252000
50,0.004414329000
51,0.004789150000
52,0.005179390000
53,0.005569079000
54,0.005957108000
55,0.006354950000
56,0.006782852000
57,0.007260393000
58,0.007826548000
59,0.008505772000
60,0.009325750000
61,0.010256620000
62,0.011240438000
63,0.012191515000
64,0.013109252000
65,0.014098113000
66,0.015108257000
67,0.016292505000
68,0.017682315000
69,0.019293937000
70,0.021111487000
71,0.023191353000
72,0.025605234000
73,0.028370257000
74,0.031487365000
75,0.034991007000
76,0.038768375000
77,0.042944767000
78,0.047560481000
79,0.052659280000
80,0.058289076000
81,0.064501508000
82,0.071352725000
83,0.078903498000
84,0.087219071000
85,0.096369501000
86,0.106429976000
87,0.117480331000
88,0.129605623000
89,0.142895326000
90,0.157443830000
91,0.173349368000
92,0.190714237000
93,0.209643341000
94,0.230244579000
95,0.252626946000
96,0.276899481000
97,0.303171009000
98,0.331547722000
99,0.362132380000
100,18.420680740000
